01-2000-04,moderate rain
01-2000-05,moderate rain
01-2000-10,moderate rain and heavy intensity rain
01-2000-20,snow
01-2000-25,snow and heavy snow
01-2000-26,moderate rain
01-2000-31,moderate rain and heavy intensity rain
02-2000-04,snow
02-2000-14,moderate rain
02-2000-18,snow and moderate rain and heavy snow and heavy intensity rain
02-2000-19,moderate rain
02-2000-25,heavy intensity rain and moderate rain
03-2000-08,moderate rain
03-2000-11,heavy intensity rain and moderate rain
03-2000-12,thunderstorm with rain and moderate rain
03-2000-17,moderate rain and heavy intensity rain and snow
03-2000-26,thunderstorm with rain
03-2000-28,thunderstorm with rain and heavy intensity rain and moderate rain
04-2000-04,heavy intensity rain and moderate rain
04-2000-09,moderate rain and snow and heavy snow
04-2000-16,moderate rain and thunderstorm with rain
04-2000-17,moderate rain
04-2000-21,moderate rain and heavy intensity rain and thunderstorm with rain
04-2000-22,moderate rain
04-2000-23,moderate rain
05-2000-08,thunderstorm with rain
05-2000-11,moderate rain
05-2000-13,moderate rain
05-2000-14,thunderstorm with rain and moderate rain
05-2000-19,heavy intensity rain and thunderstorm with rain and moderate rain
05-2000-20,moderate rain
05-2000-23,moderate rain
05-2000-24,moderate rain and heavy intensity rain
05-2000-25,moderate rain
06-2000-03,moderate rain
06-2000-06,moderate rain and heavy intensity rain
06-2000-07,moderate rain
06-2000-12,thunderstorm with rain and moderate rain
06-2000-13,moderate rain
06-2000-18,heavy intensity rain and moderate rain
06-2000-22,moderate rain
06-2000-27,heavy intensity rain and moderate rain
06-2000-30,moderate rain
07-2000-03,heavy intensity rain
07-2000-04,moderate rain
07-2000-05,heavy intensity rain
07-2000-10,moderate rain
07-2000-14,moderate rain and heavy intensity rain
07-2000-15,heavy intensity rain and moderate rain
07-2000-16,moderate rain
07-2000-19,moderate rain
07-2000-22,moderate rain
07-2000-26,moderate rain and heavy intensity rain
07-2000-27,moderate rain and heavy intensity rain
07-2000-30,heavy intensity rain and moderate rain
07-2000-31,heavy intensity rain
08-2000-01,moderate rain
08-2000-02,moderate rain
